Comment,Description,Designator,Footprint,LibRef,Quantity

"GRM188R61E106MA73","Chip Monolithic Ceramic Capacitor","C1, C2, C11, C12, C15, C16, C17, C18","C_0603_Manual_mount","GRM188R61E106MA73","8"
"GRM1885C1H270JA01","Chip Monolithic Ceramic Capacitor","C3, C6","C_0603_Manual_mount","GRM1885C1H270JA01","2"
"GRM188R71E105MA12","Chip Monolithic Ceramic Capacitor","C4, C5, C19, C20","C_0603_Manual_mount","GRM188R71E105MA12","4"
"GRM1885C1H181JA01","Chip Monolithic Ceramic Capacitor","C7, C8","C_0603_Manual_mount","GRM1885C1H181JA01","2"
"GRM188R61E104KA01","Chip Monolithic Ceramic Capacitor","C9, C10, C22, C23","C_0603_Manual_mount","GRM188R61E104KA01","4"
"GRM188R71H104KA93","Chip Monolithic Ceramic Capacitor","C13, C14","C_0603_Manual_mount","GRM188R71H104KA93","2"
"1117-3V3","LOW DROP LINEAR VOLTAGE REGULATORS","DA1","SOT-223","1117-3V3","1"
"LM1117IDTX-1.8","800mA Low-Dropout Linear Regulator","DA2","TO-252","LM1117IDTX-1.8","1"
"W25Q128JVSIQ","FLASH - NOR Memory IC 128Mb (16M x 8) SPI - Quad I/O, QPI, DTR 133 MHz 8-SOIC","DS1","SOIC127P790X216-8N","W25Q128JVSIQ","1"
"APS1604M-3SQR-SN","","DS2","APS1604M (SOP-8)","APS1604M-3SQR-SN","1"
"KPT-1608PBC-A","SMD LED","HL1, HL2, HL4, HL5","LED_0603_Blue_Auto_mount","KPT-1608PBC-A","4"
"KP-1608MGC","SMD LED","HL3","LED_0603_Green_Auto_mount","KP-1608MGC","1"
"RC0603FR-0710KL","General Purpose Chip Resistor","R1, R2, R20, R21","R_0603_Manual_mount","RC0603FR-0710KL","4"
"RC0603JR-070RL","General Purpose Chip Resistor","R3, R4, R22, R23, R24, R25, R26, R27, R28, R29","R_0603_Manual_mount","RC0603JR-070RL","10"
"RC0603JR-075K1L","General Purpose Chip Resistor","R5, R6","R_0603_Manual_mount","RC0603JR-075K1L","2"
"RC0603FR-071KL","General Purpose Chip Resistor","R7, R9, R10, R12, R13, R14, R16, R17, R19","R_0603_Manual_mount","RC0603FR-071KL","9"
"RC0603JR-07100KL","General Purpose Chip Resistor","R8, R11, R15, R18","R_0603_Manual_mount","RC0603JR-07100KL","4"
"Tact_switch","SMD pushbutton","SB1, SB2","Tact_switch_6x6x4.3","Tact_switch","2"
"HOLYIOT NRF54H20","","U1","HOLYIOT NRF54H20","HOLYIOT NRF54H20","1"
"PESD5V0S1BL","Low capacitance bidirectional ESD protection diodes","VD1, VD2","SOD-882","PESD5V0S1BL","2"
"BSS138","N-Channel Logic Level Enhancement Mode Field Effect Transistor","VT1, VT2, VT3, VT4","SOT-23","BSS138","4"
"MOLEX 532610271","Connector Header Surface Mount, Right Angle 2 position 0.049 (1.25mm)","XP1","MOLEX_532610271","532610271","1"
"918-418K2023S40001","Female Type-C SMD USB Connectors","XP2","918-418K2023S40001","918-418K2023S40001","1"
"PLS-5","PLS connector","XP3","PLS-5","PLS-5","1"
"PLD-24","PLD connector","XP4, XP5","PLD-24","PLD-24","2"
"PLD-10","PLD connector","XP6","PLD-10","PLD-10","1"
"PLS-3","PLS connector","XP7","PLS-3","PLS-3","1"
"PLS-2","PLS connector","XP8","PLS-2","PLS-2","1"
